,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
37,2015-07-30,20,22,5,42
38,2015-07-11,29,36,20,65
39,2015-07-31,88,103,19,191
40,2015-07-14,448,190,8,638
41,2015-07-17,32,66,20,98
42,2015-07-31,25,16,5,41
43,2015-07-31,166,93,9,259
44,2015-07-05,44,26,7,70
45,2015-07-06,49,57,12,106
46,2015-07-21,168,302,18,470
49,2015-07-05,15,16,22,31
50,2015-07-15,44,53,13,97
51,2015-07-06,118,163,16,281
52,2015-07-22,383,210,8,593
53,2015-07-01,33,19,5,52
54,2015-07-11,2,6,3,8
55,2015-07-04,77,65,10,142
56,2015-07-12,97,72,13,169
57,2015-07-15,149,206,16,355
58,2015-07-07,403,204,8,607
59,2015-07-03,68,72,18,140
60,2015-07-16,41,50,12,91
61,2015-07-26,55,49,10,104
62,2015-07-06,5,2,2,7
63,2015-07-31,11,13,0,24
64,2015-07-28,122,232,16,354
65,2015-07-15,397,220,8,617
66,2015-07-30,43,39,12,82
67,2015-07-16,26,13,5,39
68,2015-07-15,147,53,6,200
69,2015-07-12,8,9,1,17
70,2015-07-04,83,82,15,165
72,2015-07-29,8,2,4,10
73,2015-07-03,79,67,17,146
74,2015-07-23,6,7,4,13
75,2015-07-17,47,46,11,93
76,2015-07-10,249,108,7,357
77,2015-07-12,45,21,8,66
79,2015-07-21,366,189,8,555
80,2015-07-17,2,0,2,2
81,2015-07-21,110,144,19,254
82,2015-07-14,233,527,17,760
83,2015-07-16,136,241,16,377
85,2015-07-26,58,44,16,102
86,2015-07-16,30,27,22,57
87,2015-07-14,0,73,10,73
88,2015-07-18,107,79,12,186
89,2015-07-01,114,168,19,282
90,2015-07-08,13,15,23,28
91,2015-07-03,3,3,3,6
92,2015-07-08,71,77,15,148
93,2015-07-07,364,138,7,502
94,2015-07-02,2,5,2,7
96,2015-07-25,11,16,21,27
97,2015-07-27,51,38,12,89
98,2015-07-31,32,41,22,73
99,2015-07-30,5,5,1,10
100,2015-07-24,40,49,13,89
101,2015-07-04,23,16,6,39
102,2015-07-21,1,2,2,3
103,2015-07-30,59,51,11,110
104,2015-07-24,7,15,0,22
105,2015-07-06,158,327,18,485
106,2015-07-04,48,43,22,91
107,2015-07-31,171,362,17,533
108,2015-07-16,190,515,17,705
109,2015-07-02,15,18,23,33
110,2015-07-03,49,58,19,107
111,2015-07-16,51,60,14,111
112,2015-07-16,394,177,8,571
113,2015-07-27,61,45,10,106
114,2015-07-30,8,10,0,18
115,2015-07-15,6,6,4,12
116,2015-07-17,248,104,7,352
